;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_BOL_desc;We've had a good run, but it's time to end our rulership of L0onese Peru: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRA_title;Grant Ostfalen Independence;;;;;;;;;;;;x,,
gtfo_BRA_desc;We've had a good run, but it's time to end our rulership of Ostfalen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRU_title;Grant Brunei Independence;;;;;;;;;;;;x,,
gtfo_BRU_desc;We've had a good run, but it's time to end our rulership of Brunei: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRZ_title;Grant Welsh Brazil Independence;;;;;;;;;;;;x,,
gtfo_BRZ_desc;We've had a good run, but it's time to end our rulership of Welsh Brazil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BSK_title;Grant Ufaans Independence;;;;;;;;;;;;x,,
gtfo_BSK_desc;We've had a good run, but it's time to end our rulership of Ufaans: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUL_title;Grant Bulgaria Independence;;;;;;;;;;;;x,,
gtfo_BUL_desc;We've had a good run, but it's time to end our rulership of Bulgaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BXR_title;Grant Bar Independence;;;;;;;;;;;;x,,
gtfo_BXR_desc;We've had a good run, but it's time to end our rulership of Bar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAL_title;Grant British Columbia Independence;;;;;;;;;;;;x,,
gtfo_CAL_desc;We've had a good run, but it's time to end our rulership of British Columbia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAN_title;Grant French Canada Independence;;;;;;;;;;;;x,,
gtfo_CAN_desc;We've had a good run, but it's time to end our rulership of French Canada: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CIR_title;Grant Circassia Independence;;;;;;;;;;;;x,,
gtfo_CIR_desc;We've had a good run, but it's time to end our rulership of Circassia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CLM_title;Grant British Colombia Independence;;;;;;;;;;;;x,,
gtfo_CLM_desc;We've had a good run, but it's time to end our rulership of British Colombia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COL_title;Grant L0onese Cascadia Independence;;;;;;;;;;;;x,,
gtfo_COL_desc;We've had a good run, but it's time to end our rulership of L0onese Cascadia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRS_title;Grant Corsica Independence;;;;;;;;;;;;x,,
gtfo_CRS_desc;We've had a good run, but it's time to end our rulership of Corsica: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSH_title;Grant Shun Independence;;;;;;;;;;;;x,,
gtfo_CSH_desc;We've had a good run, but it's time to end our rulership of Shun: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CWU_title;Grant Wu Independence;;;;;;;;;;;;x,,
gtfo_CWU_desc;We've had a good run, but it's time to end our rulership of Wu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYP_title;Grant Cyprus Independence;;;;;;;;;;;;x,,
gtfo_CYP_desc;We've had a good run, but it's time to end our rulership of Cyprus: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DEN_title;Grant Denmark Independence;;;;;;;;;;;;x,,
gtfo_DEN_desc;We've had a good run, but it's time to end our rulership of Denmark: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DES_title;Grant French California Independence;;;;;;;;;;;;x,,
gtfo_DES_desc;We've had a good run, but it's time to end our rulership of French California: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLH_title;Grant Delhi Independence;;;;;;;;;;;;x,,
gtfo_DLH_desc;We've had a good run, but it's time to end our rulership of Delhi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLI_title;Grant Deli Independence;;;;;;;;;;;;x,,
gtfo_DLI_desc;We've had a good run, but it's time to end our rulership of Deli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DOM_title;Grant Galician West Indies Independence;;;;;;;;;;;;x,,
gtfo_DOM_desc;We've had a good run, but it's time to end our rulership of Galician West Indies: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EJZ_title;Grant Nanai Independence;;;;;;;;;;;;x,,
gtfo_EJZ_desc;We've had a good run, but it's time to end our rulership of Nanai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENG_title;Grant Great Britain Independence;;;;;;;;;;;;x,,
gtfo_ENG_desc;We've had a good run, but it's time to end our rulership of Great Britain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJL_title;Grant Lau Independence;;;;;;;;;;;;x,,
gtfo_FJL_desc;We've had a good run, but it's time to end our rulership of Lau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJV_title;Grant Viti Levu Independence;;;;;;;;;;;;x,,
gtfo_FJV_desc;We've had a good run, but it's time to end our rulership of Viti Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJW_title;Grant Vanua Levu Independence;;;;;;;;;;;;x,,
gtfo_FJW_desc;We've had a good run, but it's time to end our rulership of Vanua Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLA_title;Grant Flanders Independence;;;;;;;;;;;;x,,
gtfo_FLA_desc;We've had a good run, but it's time to end our rulership of Flanders: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRA_title;Grant France Independence;;;;;;;;;;;;x,,
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEN_title;Grant Genoa Independence;;;;;;;;;;;;x,,
gtfo_GEN_desc;We've had a good run, but it's time to end our rulership of Genoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLC_title;Grant Galicia Independence;;;;;;;;;;;;x,,
gtfo_GLC_desc;We've had a good run, but it's time to end our rulership of Galicia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLR_title;Grant Gelre Independence;;;;;;;;;;;;x,,
gtfo_GLR_desc;We've had a good run, but it's time to end our rulership of Gelre: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRA_title;Grant Granada Independence;;;;;;;;;;;;x,,
gtfo_GRA_desc;We've had a good run, but it's time to end our rulership of Granada: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUJ_title;Grant Gujarat Independence;;;;;;;;;;;;x,,
gtfo_GUJ_desc;We've had a good run, but it's time to end our rulership of Gujarat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAT_title;Grant Hainaut Independence;;;;;;;;;;;;x,,
gtfo_HAT_desc;We've had a good run, but it's time to end our rulership of Hainaut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAU_title;Grant Hausaland Independence;;;;;;;;;;;;x,,
gtfo_HAU_desc;We've had a good run, but it's time to end our rulership of Hausaland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDJ_title;Grant Mecca Independence;;;;;;;;;;;;x,,
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Mecca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HES_title;Grant Hesse Independence;;;;;;;;;;;;x,,
gtfo_HES_desc;We've had a good run, but it's time to end our rulership of Hesse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HLL_title;Grant Holland Independence;;;;;;;;;;;;x,,
gtfo_HLL_desc;We've had a good run, but it's time to end our rulership of Holland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HON_title;Grant British Mexico Independence;;;;;;;;;;;;x,,
gtfo_HON_desc;We've had a good run, but it's time to end our rulership of British Mexico: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUN_title;Grant Hungary Independence;;;;;;;;;;;;x,,
gtfo_HUN_desc;We've had a good run, but it's time to end our rulership of Hungary: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWH_title;Grant Hawai'i Independence;;;;;;;;;;;;x,,
gtfo_HWH_desc;We've had a good run, but it's time to end our rulership of Hawai'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWK_title;Grant Kaua'i Independence;;;;;;;;;;;;x,,
gtfo_HWK_desc;We've had a good run, but it's time to end our rulership of Kaua'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWM_title;Grant Maui Independence;;;;;;;;;;;;x,,
gtfo_HWM_desc;We've had a good run, but it's time to end our rulership of Maui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWO_title;Grant O'ahu Independence;;;;;;;;;;;;x,,
gtfo_HWO_desc;We've had a good run, but it's time to end our rulership of O'ahu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IPR_title;Grant Indrapura Independence;;;;;;;;;;;;x,,
gtfo_IPR_desc;We've had a good run, but it's time to end our rulership of Indrapura: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAP_title;Grant Japan Independence;;;;;;;;;;;;x,,
gtfo_JAP_desc;We've had a good run, but it's time to end our rulership of Japan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLK_title;Grant Khalkha Independence;;;;;;;;;;;;x,,
gtfo_KLK_desc;We've had a good run, but it's time to end our rulership of Khalkha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOR_title;Grant Korea Independence;;;;;;;;;;;;x,,
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KTI_title;Grant Kutai Independence;;;;;;;;;;;;x,,
gtfo_KTI_desc;We've had a good run, but it's time to end our rulership of Kutai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KUB_title;Grant Kuba Independence;;;;;;;;;;;;x,,
gtfo_KUB_desc;We've had a good run, but it's time to end our rulership of Kuba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAN_title;Grant Lanfang Independence;;;;;;;;;;;;x,,
gtfo_LAN_desc;We've had a good run, but it's time to end our rulership of Lanfang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Lombardy Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Lombardy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUZ_title;Grant Lusatia Independence;;;;;;;;;;;;x,,
gtfo_LUZ_desc;We've had a good run, but it's time to end our rulership of Lusatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEX_title;Grant French Mexico Independence;;;;;;;;;;;;x,,
gtfo_MEX_desc;We've had a good run, but it's time to end our rulership of French Mexico: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MJZ_title;Grant Jianzhou Independence;;;;;;;;;;;;x,,
gtfo_MJZ_desc;We've had a good run, but it's time to end our rulership of Jianzhou: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLC_title;Grant Malacca Independence;;;;;;;;;;;;x,,
gtfo_MLC_desc;We've had a good run, but it's time to end our rulership of Malacca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLW_title;Grant Maravi Independence;;;;;;;;;;;;x,,
gtfo_MLW_desc;We've had a good run, but it's time to end our rulership of Maravi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNX_title;Grant Ming Independence;;;;;;;;;;;;x,,
gtfo_MNX_desc;We've had a good run, but it's time to end our rulership of Ming: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRK_title;Grant Marrakesh Independence;;;;;;;;;;;;x,,
gtfo_MRK_desc;We've had a good run, but it's time to end our rulership of Marrakesh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRT_title;Grant Maharastra Independence;;;;;;;;;;;;x,,
gtfo_MRT_desc;We've had a good run, but it's time to end our rulership of Maharastra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NHX_title;Grant Orochoni Independence;;;;;;;;;;;;x,,
gtfo_NHX_desc;We've had a good run, but it's time to end our rulership of Orochoni: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NNG_title;Grant Ning Independence;;;;;;;;;;;;x,,
gtfo_NNG_desc;We've had a good run, but it's time to end our rulership of Ning: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NVK_title;Grant Nivkh Independence;;;;;;;;;;;;x,,
gtfo_NVK_desc;We've had a good run, but it's time to end our rulership of Nivkh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAP_title;Grant The Papal State Independence;;;;;;;;;;;;x,,
gtfo_PAP_desc;We've had a good run, but it's time to end our rulership of The Papal State: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PEU_title;Grant British Peru Independence;;;;;;;;;;;;x,,
gtfo_PEU_desc;We've had a good run, but it's time to end our rulership of British Peru: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PLB_title;Grant Palembang Independence;;;;;;;;;;;;x,,
gtfo_PLB_desc;We've had a good run, but it's time to end our rulership of Palembang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PNJ_title;Grant Punjab Independence;;;;;;;;;;;;x,,
gtfo_PNJ_desc;We've had a good run, but it's time to end our rulership of Punjab: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRI_title;Grant L0onese West Indies Independence;;;;;;;;;;;;x,,
gtfo_PRI_desc;We've had a good run, but it's time to end our rulership of L0onese West Indies: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRO_title;Grant Provence Independence;;;;;;;;;;;;x,,
gtfo_PRO_desc;We've had a good run, but it's time to end our rulership of Provence: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRU_title;Grant Prussia Independence;;;;;;;;;;;;x,,
gtfo_PRU_desc;We've had a good run, but it's time to end our rulership of Prussia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PTG_title;Grant L0onese La Plata Independence;;;;;;;;;;;;x,,
gtfo_PTG_desc;We've had a good run, but it's time to end our rulership of L0onese La Plata: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUS_title;Grant Russia Independence;;;;;;;;;;;;x,,
gtfo_RUS_desc;We've had a good run, but it's time to end our rulership of Russia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCA_title;Grant Scandinavia Independence;;;;;;;;;;;;x,,
gtfo_SCA_desc;We've had a good run, but it's time to end our rulership of Scandinavia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLZ_title;Grant Salzburg Independence;;;;;;;;;;;;x,,
gtfo_SLZ_desc;We've had a good run, but it's time to end our rulership of Salzburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMO_title;Grant Samoa Independence;;;;;;;;;;;;x,,
gtfo_SMO_desc;We've had a good run, but it's time to end our rulership of Samoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_STY_title;Grant Steyermark Independence;;;;;;;;;;;;x,,
gtfo_STY_desc;We've had a good run, but it's time to end our rulership of Steyermark: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUN_title;Grant Sunda Independence;;;;;;;;;;;;x,,
gtfo_SUN_desc;We've had a good run, but it's time to end our rulership of Sunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SVY_title;Grant Savoy Independence;;;;;;;;;;;;x,,
gtfo_SVY_desc;We've had a good run, but it's time to end our rulership of Savoy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWA_title;Grant Kilwa Independence;;;;;;;;;;;;x,,
gtfo_SWA_desc;We've had a good run, but it's time to end our rulership of Kilwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYC_title;Grant Sicily Independence;;;;;;;;;;;;x,,
gtfo_SYC_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TBZ_title;Grant Trebizond Independence;;;;;;;;;;;;x,,
gtfo_TBZ_desc;We've had a good run, but it's time to end our rulership of Trebizond: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TDO_title;Grant Tondo Independence;;;;;;;;;;;;x,,
gtfo_TDO_desc;We've had a good run, but it's time to end our rulership of Tondo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TEX_title;Grant French Louisiana Independence;;;;;;;;;;;;x,,
gtfo_TEX_desc;We've had a good run, but it's time to end our rulership of French Louisiana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TGA_title;Grant Tonga Independence;;;;;;;;;;;;x,,
gtfo_TGA_desc;We've had a good run, but it's time to end our rulership of Tonga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIR_title;Grant Tyrol Independence;;;;;;;;;;;;x,,
gtfo_TIR_desc;We've had a good run, but it's time to end our rulership of Tyrol: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UKR_title;Grant Ruthenia Independence;;;;;;;;;;;;x,,
gtfo_UKR_desc;We've had a good run, but it's time to end our rulership of Ruthenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_USA_title;Grant Nouvelle-Flandre Independence;;;;;;;;;;;;x,,
gtfo_USA_desc;We've had a good run, but it's time to end our rulership of Nouvelle-Flandre: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UTS_title;Grant Ü Independence;;;;;;;;;;;;x,,
gtfo_UTS_desc;We've had a good run, but it's time to end our rulership of Ü: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VNZ_title;Grant Galician Colombia Independence;;;;;;;;;;;;x,,
gtfo_VNZ_desc;We've had a good run, but it's time to end our rulership of Galician Colombia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WBG_title;Grant East Franconia Independence;;;;;;;;;;;;x,,
gtfo_WBG_desc;We've had a good run, but it's time to end our rulership of East Franconia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WES_title;Grant Westfalen Independence;;;;;;;;;;;;x,,
gtfo_WES_desc;We've had a good run, but it's time to end our rulership of Westfalen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WHA_title;Grant Wales Independence;;;;;;;;;;;;x,,
gtfo_WHA_desc;We've had a good run, but it's time to end our rulership of Wales: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X00_title;Grant Fars Independence;;;;;;;;;;;;x,,
gtfo_X00_desc;We've had a good run, but it's time to end our rulership of Fars: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X01_title;Grant Daylam Independence;;;;;;;;;;;;x,,
gtfo_X01_desc;We've had a good run, but it's time to end our rulership of Daylam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X02_title;Grant León Independence;;;;;;;;;;;;x,,
gtfo_X02_desc;We've had a good run, but it's time to end our rulership of León: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X03_title;Grant Swabia Independence;;;;;;;;;;;;x,,
gtfo_X03_desc;We've had a good run, but it's time to end our rulership of Swabia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X04_title;Grant Badakhshan Independence;;;;;;;;;;;;x,,
gtfo_X04_desc;We've had a good run, but it's time to end our rulership of Badakhshan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X05_title;Grant Al-Guañac Independence;;;;;;;;;;;;x,,
gtfo_X05_desc;We've had a good run, but it's time to end our rulership of Al-Guañac: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X06_title;Grant Capua Independence;;;;;;;;;;;;x,,
gtfo_X06_desc;We've had a good run, but it's time to end our rulership of Capua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X07_title;Grant Lesser Croatia Independence;;;;;;;;;;;;x,,
gtfo_X07_desc;We've had a good run, but it's time to end our rulership of Lesser Croatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X08_title;Grant Khuzestan Independence;;;;;;;;;;;;x,,
gtfo_X08_desc;We've had a good run, but it's time to end our rulership of Khuzestan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X09_title;Grant Romagna Independence;;;;;;;;;;;;x,,
gtfo_X09_desc;We've had a good run, but it's time to end our rulership of Romagna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X10_title;Grant Syr Darya Independence;;;;;;;;;;;;x,,
gtfo_X10_desc;We've had a good run, but it's time to end our rulership of Syr Darya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X11_title;Grant Transcaspiana Independence;;;;;;;;;;;;x,,
gtfo_X11_desc;We've had a good run, but it's time to end our rulership of Transcaspiana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X12_title;Grant Koi-Bagar Independence;;;;;;;;;;;;x,,
gtfo_X12_desc;We've had a good run, but it's time to end our rulership of Koi-Bagar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X13_title;Grant Australia Independence;;;;;;;;;;;;x,,
gtfo_X13_desc;We've had a good run, but it's time to end our rulership of Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X14_title;Grant British Brazil Independence;;;;;;;;;;;;x,,
gtfo_X14_desc;We've had a good run, but it's time to end our rulership of British Brazil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XMA_title;Grant Tamilakam Independence;;;;;;;;;;;;x,,
gtfo_XMA_desc;We've had a good run, but it's time to end our rulership of Tamilakam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAT_title;Grant Yatenga Independence;;;;;;;;;;;;x,,
gtfo_YAT_desc;We've had a good run, but it's time to end our rulership of Yatenga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YZD_title;Grant Yazd Independence;;;;;;;;;;;;x,,
gtfo_YZD_desc;We've had a good run, but it's time to end our rulership of Yazd: if you love something, let it go!;;;;;;;;;;;;x
